SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
114527,General Electric Company,GE,2024,13219000.0,4710000.0,7757000.0,8941000.0,-986000.0,17234000.0,,123140000.0,38702000.0,,,,,0.0629933409127822,,,,0.0629933409127822,,0,0.0,0,
1031123,"Hawaiian Electric Industries, Inc.",HE,2020,341421.0,429407.0,308283.0,599061.0,-90584.0,2119129.0,219049.0,15004007.0,2579775.0,,2338178.0,,0.1558369041016843,0.02054671128852446,0.1836502610152007,0.1558369041016843,,0.02054671128852446,0.1836502610152007,0,,0,0.0
1031123,"Hawaiian Electric Industries, Inc.",HE,2021,305551.0,375673.0,391914.0,670616.0,-96253.0,2410242.0,53998.0,15822637.0,2850379.0,,2464240.0,,0.1557414228740759,0.02476919618392307,0.15244984254780378,0.1557414228740759,,0.02476919618392307,0.15244984254780378,0,0.0,0,0.0
1031123,"Hawaiian Electric Industries, Inc.",HE,2022,199877.0,454476.0,283243.0,553648.0,-105292.0,3080100.0,172568.0,16284244.0,3420917.0,,3252668.0,,0.1997432610319521,0.017393684349116853,0.13972406652016128,0.1997432610319521,,0.017393684349116853,0.13972406652016128,0,0.0,0,0.0
1031123,"Hawaiian Electric Industries, Inc.",HE,2023,244091.0,551471.0,279006.0,561312.0,-127422.0,2825933.0,,17243821.0,3287503.0,,,,,0.016180056612742615,,,,0.016180056612742615,,0,0.0,0,0.0
1031123,"Hawaiian Electric Industries, Inc.",HE,2024,750535.0,487481.0,206994.0,500527.0,-129097.0,2690387.0,48623.0,8931416.0,3219850.0,,2739010.0,,0.30667141693993427,0.023175944329544163,0.17797707930967757,0.30667141693993427,,0.023175944329544163,0.17797707930967757,0,0.0,0,
1031164,"Automatic Data Processing, Inc.",ADP,2020,1908500.0,3026200.0,3216200.0,3696200.0,-107100.0,1002800.0,13600.0,39165500.0,14589800.0,,1016400.0,,0.025951411318635022,0.08211819075461822,2.9773711137347503,0.025951411318635022,,0.08211819075461822,2.9773711137347503,0,,0,0.0
1031164,"Automatic Data Processing, Inc.",ADP,2021,2575200.0,3093300.0,3383200.0,3893900.0,-59700.0,2985000.0,23500.0,48772500.0,15005400.0,,3008500.0,,0.06168435081244554,0.06936695883950997,1.028186804055177,0.06168435081244554,,0.06936695883950997,1.028186804055177,0,0.0,0,0.0
1031164,"Automatic Data Processing, Inc.",ADP,2022,1436300.0,3099500.0,3864900.0,4380000.0,-81900.0,2987100.0,136400.0,63068200.0,16498300.0,,3123500.0,,0.049525751488071645,0.06128127963062209,0.9923163118296783,0.049525751488071645,,0.06128127963062209,0.9923163118296783,0,0.0,0,0.0
1031164,"Automatic Data Processing, Inc.",ADP,2023,2083500.0,4207600.0,4558200.0,5107500.0,-253300.0,2989000.0,105400.0,50971000.0,18012200.0,,3094400.0,,0.0607090306252575,0.08942732141806126,1.359746639089969,0.0607090306252575,,0.08942732141806126,1.359746639089969,0,0.0,0,0.0
1031164,"Automatic Data Processing, Inc.",ADP,2024,2913400.0,4157600.0,4977200.0,5539100.0,-361400.0,2991300.0,385400.0,54362700.0,19202600.0,,3376700.0,,0.06211428056369533,0.09155542311180276,1.2312612906091747,0.06211428056369533,,0.09155542311180276,1.2312612906091747,0,0.0,0,0.0
1031164,"Automatic Data Processing, Inc.",ADP,2025,3347800.0,4939700.0,5442800.0,6025200.0,-455900.0,3974700.0,4807900.0,53369300.0,20560900.0,,8782600.0,,0.16456277297997163,0.10198372472563814,0.5624416459818277,0.16456277297997163,,0.10198372472563814,0.5624416459818277,0,0.0,0,
3001622,Avery Dennison Corporation,AVY,2020,252300.0,751300.0,873600.0,1049900.0,-70000.0,2065900.0,59100.0,6083900.0,6971500.0,,2125000.0,,0.34928253258600567,0.1435921037492398,0.35355294117647057,0.34928253258600567,,0.1435921037492398,0.35355294117647057,0,,0,0.0
3001622,Avery Dennison Corporation,AVY,2021,162700.0,1046800.0,1047800.0,1261800.0,-70200.0,2784500.0,313300.0,7971600.0,8408300.0,,3097800.0,,0.3886045461387927,0.1314416177429876,0.33791723158370457,0.3886045461387927,,0.1314416177429876,0.33791723158370457,0,0.0,0,0.0
3001622,Avery Dennison Corporation,AVY,2022,167200.0,961000.0,1088200.0,1349400.0,-84100.0,2495300.0,343500.0,7950500.0,9039300.0,,2838800.0,,0.3570593044462612,0.13687189484938053,0.3385233197125546,0.3570593044462612,,0.13687189484938053,0.3385233197125546,0,0.0,0,0.0
3001622,Avery Dennison Corporation,AVY,2023,215000.0,826000.0,966000.0,1236500.0,-119000.0,2615100.0,316300.0,8209800.0,8364300.0,,2931400.0,,0.35706107335136056,0.11766425491485785,0.28177662550317256,0.35706107335136056,,0.11766425491485785,0.28177662550317256,0,0.0,0,0.0
3001622,Avery Dennison Corporation,AVY,2024,329100.0,938800.0,1141500.0,1420600.0,-117000.0,2550800.0,36900.0,8404200.0,8755700.0,,2587700.0,,0.3079055710240118,0.1358249446705219,0.36279321405108783,0.3079055710240118,,0.1358249446705219,0.36279321405108783,0,0.0,0,
